Generation,Average Fitness,Best Fitness,Standard Deviation
0,0.23839999999999986,7.76,37.154803535054896
1,1.2735999999999994,9.36,1.294936972270473
2,4.727199999999999,15.04,2.7999960164459408
3,8.327199999999998,19.68,4.096106699942223
4,12.225599999999996,22.96,4.351373996274112
5,16.034399999999994,25.6,4.935065484743129
6,19.14560000000001,27.44,5.104686319395745
7,21.7832,28.64,5.453883434764593
8,23.64480000000001,29.92,5.5311526205203805
9,25.17679999999998,30.96,5.831113577251332
10,26.20000000000001,32.4,5.7644545764126915
11,27.3904,33.2,5.9921063486868515
12,28.512800000000002,34.32,6.026214895642974
13,29.496799999999993,35.44,6.246484549536426
14,30.358399999999996,36.88,6.422053178364959
15,31.2952,37.12,6.583664956481194
16,32.25039999999999,39.12,6.853417532841852
17,33.011999999999986,39.76,6.9971458420612604
18,33.80560000000002,40.48,7.341074721269823
19,35.062400000000004,41.28,7.5118368705209555
20,35.75840000000001,42.48,7.571215704282991
21,36.351200000000006,42.96,7.750262000563278
22,37.17359999999999,43.76,7.952773810573538
23,38.168,44.96,8.214484156988107
24,38.59439999999999,46.0,8.127108760675325
25,39.4744,46.4,8.430839194034853
26,40.555200000000006,47.04,8.46510305133282
27,41.21760000000001,47.76,8.579660515970879
28,41.6104,48.4,8.749368853789782
29,42.20319999999999,48.96,8.931655250622635
30,42.79199999999999,50.8,8.968127571996218
31,43.65039999999998,51.52,9.086033776453803
32,44.211199999999984,52.4,9.223341446682713
33,45.12639999999998,53.68,9.701356115453956
34,46.15519999999998,53.92,9.885031005788223
35,46.742399999999996,54.96,9.902859245994428
36,47.22159999999999,55.76,10.244837229709065
37,48.35840000000001,55.84,10.743283689574978
38,49.036,56.32,10.428309752670911
39,49.4552,57.52,10.587890839430031
40,49.447999999999986,58.16,10.680332031197961
41,50.18239999999999,59.28,10.906273413966485
42,50.71279999999999,60.4,10.86481047401464
43,51.57999999999999,60.96,11.23559112351116
44,52.18800000000002,61.92,11.48657681338334
45,53.06079999999997,62.32,11.748330171857317
46,53.788000000000004,63.04,11.753783546641053
47,54.2944,63.52,11.915005848960377
48,55.06160000000002,64.4,12.071238771788998
49,55.625599999999984,65.36,12.147237840123742
50,56.27919999999998,67.52,12.27496935506238
51,56.6976,68.16,12.309064799309532
52,57.85280000000001,68.56,12.962902079795436
53,59.22319999999999,69.2,13.330134583729825
54,60.02719999999999,70.72,13.123625227824611
