Generation,Average Fitness,Best Fitness,Standard Deviation
0,0.24080000000000001,8.16,39.21530668684289
1,0.6463999999999999,8.96,1.3116924698466559
2,1.5935999999999995,11.36,2.0854539101929093
3,3.3152,13.76,3.0951442478106226
4,5.577600000000002,16.88,3.9074187929183415
5,7.7231999999999985,19.36,4.349640598762484
6,9.7448,22.0,4.51833532479058
7,11.9872,23.76,4.930560032454556
8,14.279200000000005,25.68,5.4171945643712585
9,16.472,27.28,5.553092674161718
10,18.496800000000004,29.2,5.662763019609733
11,20.27839999999999,30.48,5.873609412803019
12,21.995200000000008,32.24,6.044471399049064
13,23.672800000000006,34.0,6.189934923730388
14,24.908,35.76,6.4197336935682445
15,26.381600000000006,37.6,6.815948697604923
16,27.922399999999993,39.44,6.971097167060566
17,29.190399999999997,40.4,7.15769325611032
18,30.441599999999994,41.28,7.519965882542682
19,31.85120000000001,42.4,7.852859657263504
20,33.028,43.12,8.038108786286632
21,34.36880000000001,43.28,8.160313179284959
22,35.29439999999999,45.04,8.251775282185879
23,36.2216,47.44,8.477858978332982
24,37.0864,48.48,8.659503701656321
25,37.936800000000005,49.84,8.894510864515489
26,38.9552,50.24,9.161075949641756
27,39.98640000000002,51.12,9.332747604238438
28,40.809599999999996,51.52,9.628833147603748
29,42.13999999999999,52.16,10.131284434109467
30,43.013600000000004,52.88,10.210660951180824
31,43.90479999999999,53.2,10.428204240297191
32,44.46320000000001,53.52,10.373898189429518
33,44.86160000000002,54.48,10.51588453175349
34,45.194400000000016,55.44,10.612769454377787
35,45.67680000000002,55.76,10.72509360151445
36,46.1944,56.72,10.672105104524825
37,46.7816,56.56,10.769449346350669
38,47.292799999999986,57.28,10.822563172120505
39,47.908,58.4,11.088416413002868
40,48.2856,58.72,11.06890416263987
41,48.44399999999999,59.36,11.250670334165699
42,49.28960000000001,60.24,11.572903225525387
43,49.7576,61.76,11.725598009013327
44,50.573600000000006,62.24,11.771916393847699
45,51.227199999999975,63.36,12.15416128744741
46,51.7576,63.6,12.228471619073833
47,52.16799999999999,63.92,12.287087312209412
48,53.084,64.08,12.424617406782398
49,53.8112,64.32,12.502957891056187
50,53.76480000000002,64.56,12.528868743504818
51,54.56560000000001,64.96,12.974947924909541
52,54.875200000000014,65.68,12.765440416389456
53,55.34,66.0,12.80116231588475
54,55.541599999999995,65.84,12.86752489712577
55,55.812799999999996,66.48,12.881747046300006
56,55.84400000000001,67.44,12.916913664902209
57,56.21840000000003,67.92,13.175971901671996
58,56.7376,68.64,13.054635525663661
59,57.072000000000024,69.36,13.185510568186716
60,57.50320000000002,69.04,13.30298572229029
61,57.61360000000003,69.6,13.498834829374324
62,58.38480000000002,69.52,13.898118189463187
63,58.98079999999999,70.88,13.807548078057364
64,59.318400000000025,71.68,13.843125153268215
65,59.71200000000001,71.76,13.918563086083646
66,60.06159999999998,73.44,13.964325901982669
67,60.59520000000002,73.76,14.135975048800582
68,61.46639999999999,74.24,14.141201778008476
69,61.353600000000014,75.52,13.843663270465616
70,61.71920000000002,76.88,14.516028389529543
71,62.49440000000001,76.88,14.650480892858406
72,63.176799999999986,78.0,14.935907006606497
73,63.84719999999999,78.32,15.113413423125952
74,64.75600000000001,78.88,15.49284867989561
75,65.02880000000002,79.92,15.312907710651434
76,65.64,80.56,15.505404225205309
77,66.04320000000001,79.92,15.46958742058961
78,66.31040000000002,79.76,15.529173791005578
79,66.81519999999996,81.68,15.595192379522082
80,67.396,81.84,15.927287117191321
81,67.70479999999999,82.32,15.855408384409275
82,67.77999999999999,83.84,15.830285552805275
83,68.21039999999998,84.16,16.106069902597707
84,68.8568,85.44,16.25147955497888
85,69.8656,85.44,16.346161964966
86,70.3712,86.48,16.43062027393566
87,70.77999999999999,87.6,16.66654925906588
88,71.40799999999999,88.0,17.06374638158032
89,71.93359999999996,88.56,16.985231790355037
90,72.36480000000002,88.64,17.139138970912356
91,73.0696,89.84,17.38644338909907
92,73.66799999999999,90.08,17.419663010493046
93,74.03919999999995,90.56,17.465991367635137
94,74.6768,91.68,17.73935368882282
95,75.3048,92.0,18.029069016725597
96,75.6248,93.2,18.03738307126304
97,76.5696,93.84,18.254530501177136
98,76.8448,93.28,18.09388934411656
99,76.8016,94.32,18.10905056382998
100,77.14560000000002,94.4,18.637602678731223
101,77.76320000000001,95.44,19.018728163247417
102,78.50799999999998,96.0,18.848502491331143
103,78.54640000000002,96.56,18.885957846215852
104,79.22560000000001,97.44,19.388008589283224
105,79.75520000000002,97.68,19.20399576507542
106,80.25519999999997,98.24,19.4097170270283
107,80.59519999999996,98.88,19.374455888520455
108,80.80639999999997,99.44,19.527762172778854
109,81.33439999999997,100.0,19.710226488948425
110,81.66000000000003,100.4,19.77712948823273
111,82.4144,101.76,19.980484067759924
112,82.4736,102.32,19.886586143049332
113,83.15040000000003,102.88,20.180054520082127
114,83.14479999999999,103.2,20.45466382213982
115,84.29199999999997,103.44,20.903298347945146
116,84.66240000000002,104.64,20.811044709134727
117,85.9392,104.56,21.024533397288334
118,86.2456,105.12,20.997519084000217
119,86.83760000000001,105.68,21.050634215445953
120,86.90800000000002,106.32,21.10619400026702
121,86.76640000000002,106.56,21.29794377097603
122,87.62480000000004,106.8,21.7249645691126
123,87.83760000000001,106.64,21.495939698620532
124,87.93679999999999,106.96,21.506932884802463
125,88.1808,108.0,21.870187722537075
126,88.87040000000006,108.64,21.903420111228762
127,89.14399999999996,108.64,21.641501840309157
128,89.29200000000003,108.72,21.740963571183446
129,89.2384,109.36,21.92380079225464
130,89.43920000000001,111.2,22.256279135056005
131,90.01599999999999,111.12,22.34294490075529
132,89.89600000000002,111.2,22.251866617647273
133,90.77840000000002,112.08,22.5733204278158
134,91.20479999999998,113.2,22.77117008320644
135,91.2728,113.04,22.788432915921607
136,92.03839999999995,113.92,23.061441514640975
137,92.24319999999997,114.72,23.139915293037557
138,92.9016,116.32,23.263505528469473
139,93.33760000000001,116.24,23.430910021539184
140,93.63040000000001,118.16,23.23888237132644
141,94.15040000000003,118.72,23.531761755151095
142,95.0856,118.72,23.891998659889595
143,95.43359999999997,118.96,23.962406477302338
144,95.9672,120.72,24.366902953593186
145,96.75119999999997,120.16,24.631010791024437
146,97.98319999999998,120.16,24.791120766456242
147,97.82640000000006,120.48,24.24853882036884
148,98.64800000000002,122.0,24.73666939334784
149,99.31520000000002,121.6,24.755664936615457
150,99.49519999999998,122.48,24.81915990571498
151,99.89039999999999,123.36,24.96509765918985
152,99.8648,122.48,24.912329788151563
153,99.94319999999998,122.48,25.051465118060843
154,100.0336,122.72,25.294008831521786
155,100.6608,122.72,25.37964603240383
156,100.73279999999998,122.8,25.097106594023895
157,100.74160000000002,123.36,25.28703425667464
158,100.23119999999997,125.6,25.26906073859959
159,100.99759999999998,125.68,25.609156165661737
160,101.59120000000001,126.8,25.790569445132324
161,102.38080000000002,126.32,25.954505225147322
162,101.9464,126.4,25.504284924285567
163,102.39119999999996,126.32,26.071290146478763
164,103.37519999999999,128.0,26.214247070921704
165,103.58079999999994,127.36,26.166836331560386
166,104.16159999999999,128.0,26.327358848341838
167,104.27279999999999,127.68,26.325446541484823
168,104.5208,128.24,26.30103064805738
169,104.61039999999998,128.24,26.211591585057732
170,104.69360000000007,128.4,26.409943587158605
171,104.74480000000003,128.96,26.373244807997803
172,105.45360000000002,129.6,26.678239712860567
173,105.04879999999997,131.28,26.371016001973285
174,105.28159999999998,131.28,26.690718265764023
175,106.09839999999997,131.84,26.953972762945583
176,105.64960000000005,131.84,26.47540165792194
177,106.25759999999997,131.92,26.94587896755731
178,106.53759999999998,131.6,27.13730239305436
179,106.8528,132.32,27.351091004132673
180,107.75440000000002,133.04,27.19167047192474
181,107.63760000000002,133.6,27.22497079328293
182,107.57919999999999,133.6,27.643350461140916
183,108.40320000000001,133.6,27.951484486613964
184,108.69920000000002,134.16,27.723335639670236
185,108.90080000000003,135.28,27.759711283349763
186,109.26160000000002,134.96,28.036094566014107
187,109.41119999999995,134.8,27.844021139936384
188,109.56000000000007,135.84,27.6950751071101
189,110.0872,136.08,27.98934329380756
190,110.16239999999996,136.64,27.870346695605296
191,110.34639999999999,136.64,28.17893211896253
192,111.0624,136.64,28.196822762527663
193,111.036,137.2,28.327954241413607
194,110.82799999999996,137.76,28.253291095930116
195,111.55600000000003,137.84,28.826279090705135
196,111.8648,137.28,28.56840249287901
197,111.9896,139.04,28.57207576165008
198,112.044,139.12,28.37206406223994
199,111.90159999999995,139.92,28.580375005091614
200,112.37039999999999,139.92,28.979779759290057
201,112.34560000000005,142.16,28.755919682258796
202,113.50399999999992,143.84,29.346887948486298
203,113.25200000000001,143.84,29.03927956818437
204,113.94319999999995,144.4,29.611356687058382
205,114.21520000000004,144.64,29.435462313034478
206,114.62479999999996,144.72,29.68147938655798
207,115.15360000000003,144.72,29.814300531514426
208,115.63199999999999,145.84,30.135517287679093
209,116.09440000000006,145.84,30.44254740841576
210,117.06559999999999,145.84,30.776545451183257
211,117.2528,145.84,30.741700239815113
212,117.47199999999997,146.4,30.507348287441822
213,117.80799999999998,145.84,30.537624049756523
214,118.79920000000004,145.84,30.823073379531557
215,117.99920000000003,145.92,30.329988146071152
216,118.8584,145.92,30.972481046294856
217,118.38400000000001,145.92,30.56860008779989
218,118.52720000000001,146.72,30.710225977283745
219,118.26719999999999,146.64,30.81016188381789
220,118.40240000000003,146.96,30.758026128088247
221,119.02239999999998,146.96,30.56838957876585
222,118.85600000000008,147.04,30.619970414200647
223,119.13519999999998,147.04,30.975790384794195
224,118.24719999999998,147.6,30.51649218604098
225,119.01439999999997,147.6,31.137398917943138
226,118.9912,148.4,30.9264891300323
227,119.80799999999994,148.96,30.734516634879945
228,120.19039999999997,149.52,30.85409057746106
229,120.17599999999992,150.08,30.566694120662355
230,119.94960000000003,150.08,31.043851487917653
231,119.93360000000001,150.64,31.316257729086587
232,120.20080000000003,150.64,31.443657892361593
233,120.95199999999996,150.64,31.35751851299356
234,120.94320000000003,150.64,31.403971812635085
235,121.33760000000001,150.64,31.207045472439685
236,121.2928,150.88,31.280694616230175
237,121.3224,150.88,31.375272467890795
238,120.90159999999997,150.88,31.8355205865911
239,121.72719999999998,150.88,32.01585716576151
240,121.97600000000003,152.56,31.541173549949836
241,121.92240000000001,151.44,31.882120532188996
242,122.20159999999998,152.0,31.53486077458963
243,122.55039999999994,152.56,31.503722245757118
244,121.81199999999994,152.48,31.458009580407793
245,122.48319999999994,153.12,31.885029907714934
246,123.03200000000004,153.12,31.779637524785244
247,123.42479999999996,153.12,31.64956271633399
248,123.4904,153.12,31.64056426311322
249,123.7928,153.12,31.82030664636045
250,123.65360000000003,153.12,31.898347616115288
251,123.90479999999997,154.24,31.696142695679235
252,123.82399999999998,154.24,32.04086914460061
253,123.20880000000001,154.48,32.08069550791258
254,124.08400000000002,154.48,32.60876271347991
255,123.37200000000001,154.48,31.986650591844413
256,123.42960000000002,154.48,32.43319642885148
257,124.05759999999997,154.56,32.550404487800016
258,124.15919999999998,155.12,32.31061175383185
259,124.50559999999997,155.68,32.517392154346865
260,124.47759999999998,156.24,32.25375859538853
261,124.80080000000004,156.24,32.49861218856776
262,125.0544,155.68,32.381502551788365
263,125.17200000000001,156.56,32.51780111858921
264,125.3616,156.8,32.61446974344372
265,125.13680000000001,157.36,32.37747398186188
266,125.41999999999999,156.88,32.768743050530475
267,125.64319999999996,156.88,32.793090049047386
268,126.14240000000001,156.88,32.66301684864298
269,125.9552,158.24,32.78684596398291
270,126.18,158.48,32.99557266789726
271,126.5768,158.72,32.655530784139344
272,126.936,158.48,33.09306864569268
273,126.79360000000004,158.48,32.96765202894983
274,127.35760000000002,158.48,32.96691684136289
275,127.49760000000003,158.72,33.293896963597064
276,127.6424,159.84,33.525504581332626
277,127.53120000000004,160.4,33.44660195618847
278,127.50959999999999,159.84,33.187558125234474
279,128.09200000000004,159.84,33.89569691256615
280,128.26560000000006,159.84,33.47328544776491
281,128.5016,160.96,33.32075174954278
282,128.64159999999995,160.4,33.67135129744727
283,128.86319999999995,160.4,33.3397902171565
284,128.36320000000006,160.64,33.33367917856904
285,128.76560000000006,161.2,33.49838957845081
286,129.04799999999997,161.76,33.380180833804026
287,129.79520000000005,161.2,33.729841706153024
288,129.59679999999997,161.76,33.205350595780075
289,129.44639999999998,161.76,33.44926476324969
290,128.92079999999996,161.76,33.54128269535199
291,128.8672,162.32,33.50549945948108
292,128.82960000000006,162.32,33.88931169496645
293,129.71519999999998,162.88,34.15411309340499
294,129.9528,163.44,33.978734019641195
295,130.30560000000003,163.44,33.99134214249053
296,130.58800000000002,164.0,33.94401753185914
297,130.65040000000002,164.0,34.22529896686349
298,130.704,164.0,33.835787207657695
299,130.97359999999992,164.0,33.807743604574256
300,131.30719999999997,164.0,34.23646125722592
301,131.25120000000004,164.0,34.34094180508793
302,131.62160000000003,164.72,34.69960119640756
303,131.40879999999996,164.72,34.3919078142321
304,130.76480000000004,165.12,34.3035630520127
305,131.55440000000007,165.12,34.77139399287385
306,131.5896,165.68,34.597479118331805
307,131.64240000000004,165.68,34.043449138994
308,132.60880000000003,165.68,34.61233635865896
309,133.05840000000003,165.68,34.466739837582196
310,131.98719999999994,165.68,34.281072609576846
311,132.1848,165.76,34.55278992500574
312,132.1168,166.32,34.7527010102311
313,132.3224,166.32,34.71351667253871
314,132.13040000000004,166.32,34.793409357048716
315,132.3792,166.32,34.71185521569085
316,133.14960000000008,166.32,34.96745913122436
317,132.94160000000002,167.12,34.546465524687285
318,132.89999999999998,167.36,34.680607015717975
319,133.09199999999998,167.6,34.958612160344785
320,133.41360000000006,168.16,35.021833500299856
321,134.44800000000006,168.16,35.16921080758639
322,133.72159999999997,168.24,34.86413003860584
323,133.82640000000004,168.24,35.19612189473089
324,133.91839999999996,168.24,34.75767892837523
325,133.9415999999999,168.8,35.1486194138014
326,134.78320000000002,168.8,34.98408350113944
327,134.94720000000004,168.8,35.183824503222674
328,134.89520000000005,168.8,34.959955331158625
329,135.28400000000008,169.92,35.18141064835514
330,134.9424,169.92,34.8986913885729
331,135.3752000000001,170.48,35.25618055796594
332,135.3071999999999,171.04,35.35978587846447
333,135.61039999999997,170.48,35.59471846012768
334,135.05119999999997,170.48,35.61076599059372
335,135.124,170.48,35.63677959958148
336,136.13760000000005,171.04,35.97592297948964
337,136.2688,171.04,35.815976673325366
338,136.0008,171.6,35.530764704972384
339,136.2808,171.6,35.87391344827548
340,136.2136,171.04,35.50715247787411
341,136.50560000000002,171.6,35.71227797428803
342,136.67840000000007,171.6,35.61500368961915
343,136.52559999999997,171.6,35.497727140512765
