Generation,Average Fitness,Best Fitness,Standard Deviation,Average Hamming Distance
0,0.22639999999999996,7.76,5.977744260092136,32.00277373737373
1,1.1944,9.12,1.2555431907434047,31.485317171717174
2,4.532799999999998,13.28,2.700821704790877,28.041224242424235
3,8.061600000000002,16.4,3.970558316658974,22.659264646464653
4,10.938400000000003,18.48,3.79230213707241,19.158234343434348
5,13.607999999999995,20.08,4.016058483368262,15.885610101010098
6,15.748,21.44,3.967472168816528,13.490606060606055
7,17.608799999999995,22.64,3.9905005740514308,11.823551515151513
8,18.856799999999993,23.52,3.7810326516273416,10.938141414141414
9,20.073600000000003,24.0,3.9635878461985343,10.207987878787877
10,20.920800000000003,24.48,3.8291543696306394,10.008242424242423
11,21.659999999999997,24.8,3.7183049456128883,9.749723232323234
12,22.1752,25.44,3.7883369380353082,9.610096969696967
13,22.628800000000005,25.92,3.8175352273447087,9.619325252525254
14,23.0664,26.0,3.8023096278893145,9.571642424242425
15,23.599999999999994,26.48,3.8476777107344793,9.459034343434345
16,23.866399999999995,26.72,3.7892021152268525,9.381890909090906
17,24.127999999999993,27.36,3.911635933892557,9.416092929292926
18,24.413600000000002,27.76,3.9286604939641463,9.560525252525254
19,24.7592,28.16,3.976061176308509,9.675709090909093
20,25.222400000000007,28.8,4.043206319478535,9.60330707070707
21,25.604799999999987,29.12,4.065689571944864,9.61704444444444
22,26.037599999999994,29.44,4.141648457592013,9.459286868686867
23,26.508800000000004,29.92,4.146101024924466,9.380111111111113
24,26.848,30.24,4.13980406171928,9.341004040404039
25,27.283199999999997,30.72,4.231031672885462,9.252480808080808
26,27.65600000000001,31.04,4.211316549507568,9.160139393939394
27,27.9168,31.28,4.148327630609353,9.234260606060605
28,28.2352,31.52,4.264708551693109,9.2145898989899
29,28.631200000000003,31.76,4.318623708480442,9.167951515151517
30,28.947199999999995,32.24,4.280090550105055,9.048854545454546
31,29.11039999999999,32.88,4.207986632655778,9.121424242424238
32,29.420800000000007,33.2,4.3237366407518305,9.16459797979798
33,29.7672,33.84,4.284832456190469,9.200533333333338
34,30.2328,34.0,4.392555739680708,9.014353535353536
35,30.677600000000005,34.48,4.453591672997458,8.930870707070708
36,31.07359999999999,34.8,4.42718701102119,8.78841616161616
37,31.415200000000013,35.36,4.449885394665273,8.732048484848486
38,31.792799999999993,35.68,4.496943386924475,8.665393939393939
39,32.27120000000001,36.16,4.526032622371265,8.493864646464647
40,32.62720000000001,36.32,4.531803208097524,8.340753535353539
41,32.9984,36.56,4.553524760220703,8.253608080808078
42,33.23200000000001,36.8,4.5823236475026246,8.24030909090909
43,33.554399999999994,36.96,4.584131824305201,8.312729292929296
44,33.675999999999995,37.04,4.607364988172855,8.350468686868686
45,33.89039999999999,37.44,4.59414293996203,8.466311111111109
46,34.10319999999997,37.6,4.613023481174294,8.472402020202018
47,34.316799999999986,38.08,4.638152524480255,8.518054545454545
48,34.5112,38.16,4.633838845534732,8.535507070707073
49,34.82640000000001,38.72,4.6251396036456445,8.50809090909091
50,35.0448,39.12,4.698147031288697,8.381185858585857
51,35.39280000000001,39.28,4.690094028505937,8.345258585858591
52,35.72240000000001,39.44,4.733338786543465,8.309737373737374
53,36.051199999999994,39.6,4.72636959202952,8.178573737373739
54,36.1984,39.84,4.731444943192722,8.102298989898987
55,36.40480000000001,40.0,4.739944313979645,8.081036363636366
56,36.4664,40.32,4.741223588649945,8.182640404040402
57,36.7416,40.72,4.790644097205527,8.148206060606062
58,36.96639999999998,40.96,4.80792888110001,8.110046464646466
59,37.219199999999994,41.36,4.7859658515759405,8.074161616161616
60,37.37999999999999,41.44,4.803942274311082,8.018856565656568
61,37.78480000000001,42.0,4.892559461240508,7.843121212121216
62,38.12719999999999,42.24,4.869747866126963,7.645719191919194
63,38.391999999999996,42.32,4.876108113167987,7.624072727272727
64,38.68800000000001,42.8,4.89532422298319,7.454955555555554
65,38.95919999999999,42.88,4.902176130774585,7.312553535353533
66,39.15040000000001,42.88,4.930557565773773,7.231163636363639
67,39.24560000000001,43.12,4.956287584634086,7.188575757575757
68,39.514400000000016,43.2,5.031074629319885,7.142274747474749
69,39.59680000000001,43.28,4.9315709281863,7.188915151515155
70,39.803200000000004,43.44,4.958856071713796,7.1230949494949485
71,39.9248,43.52,4.9318338900621965,7.147595959595958
72,39.9072,43.76,4.904208633501588,7.245616161616161
73,40.10560000000001,43.92,5.018582164566252,7.198335353535357
74,40.1664,44.0,4.955489212781801,7.209583838383838
75,40.36800000000001,44.24,5.017038737688662,7.148626262626262
76,40.4488,44.32,5.001142671435314,7.175012121212121
77,40.660799999999995,44.48,5.038248482013081,7.159072727272732
78,40.7648,44.72,5.006415292385539,7.12487676767677
79,40.85519999999999,45.04,4.957291913467981,7.1199898989899
80,41.014399999999995,45.2,5.071216864009534,7.06678181818182
81,41.3248,45.2,5.101483084532758,7.018181818181817
82,41.5088,45.36,5.028698775569578,6.916501010101012
83,41.71039999999999,45.44,5.084677041576168,6.833296969696967
84,41.729600000000026,45.52,5.072713582408405,6.806070707070709
85,41.84080000000001,45.84,5.022238028574059,6.794753535353535
86,41.90480000000002,46.0,5.126710289041241,6.819250505050507
87,42.02560000000001,46.0,5.138089869273924,6.816515151515151
88,42.31200000000002,46.16,5.143159694197044,6.702056565656569
89,42.337599999999995,46.4,5.126161997509144,6.642074747474751
90,42.5056,46.64,5.105991066577603,6.626842424242425
91,42.6016,46.88,5.128969674661415,6.660496969696969
92,42.852000000000004,47.12,5.117617784598773,6.575650505050503
93,43.03520000000001,47.36,5.122284473859885,6.566363636363638
94,43.21279999999999,47.44,5.119868651357222,6.444400000000001
95,43.415999999999976,47.68,5.27485369223902,6.303927272727272
96,43.58,47.84,5.22551110913484,6.234624242424242
97,43.85200000000003,47.92,5.216814933365897,6.204644444444446
98,43.82879999999998,48.0,5.132209050210293,6.189204040404043
99,44.040000000000006,48.24,5.2584258005547735,6.039068686868689
100,44.12159999999999,48.32,5.251589182216922,6.01211717171717
101,44.2728,48.4,5.249388767374102,5.992101010101011
102,44.44320000000002,48.4,5.35423314651516,5.9745858585858596
103,44.508,48.64,5.243503870031893,5.973779797979796
104,44.68000000000001,48.88,5.244863116380928,5.935757575757575
105,44.64800000000001,49.2,5.296648725236191,6.015533333333332
106,44.82240000000001,49.44,5.296309251952806,5.979026262626263
107,45.08240000000001,49.52,5.279256750397991,5.939159595959601
108,45.317599999999985,49.6,5.271896918766925,5.837355555555558
109,45.523999999999994,50.0,5.373716000148506,5.718513131313131
110,45.6624,50.24,5.267618081358207,5.650733333333335
111,45.79119999999999,50.4,5.3177010072780355,5.627648484848485
112,46.26000000000001,50.48,5.4096114055324245,5.42269292929293
113,46.34719999999999,50.56,5.32672563514605,5.309690909090908
114,46.4776,50.72,5.394461882889381,5.244359595959595
115,46.60800000000003,50.96,5.319142204641672,5.2150303030303045
116,46.59920000000004,51.04,5.306558389700715,5.25699191919192
117,46.83279999999999,51.44,5.426755903526031,5.166218181818182
118,46.983999999999995,51.52,5.373885224791843,5.172858585858587
119,47.034399999999984,51.52,5.347061246639767,5.167395959595959
120,47.17520000000001,51.6,5.437179423690658,5.131802020202018
121,47.382400000000004,51.76,5.455436787631562,5.043341414141413
122,47.532,52.0,5.417920435085276,4.9583939393939405
123,47.653600000000004,52.0,5.467682411295458,4.960541414141413
124,47.708799999999975,52.08,5.337326261443787,4.901129292929294
125,47.80720000000002,52.08,5.49849660796083,4.842298989898991
126,47.97280000000001,52.32,5.50822904703267,4.786888888888889
127,48.005599999999994,52.32,5.470334302610513,4.776937373737371
128,48.0368,52.48,5.514286464060948,4.748923232323232
129,48.28559999999999,52.72,5.50761086832579,4.67870909090909
130,48.155999999999985,52.72,5.420671458434103,4.778682828282829
131,48.432799999999986,52.88,5.536521116807288,4.71430505050505
132,48.492000000000004,52.96,5.457941670374569,4.711646464646463
133,48.70000000000001,53.04,5.539551693618463,4.627555555555553
134,48.73680000000001,53.04,5.435472700210139,4.647462626262627
135,48.7768,53.2,5.464885869909341,4.599941414141415
136,48.8248,53.28,5.560958022411,4.588527272727273
137,48.9752,53.36,5.545019307387584,4.60839393939394
138,48.98,53.44,5.486897569232171,4.661212121212121
139,49.02320000000002,53.52,5.529821966090169,4.634185858585859
140,49.24479999999997,53.52,5.5871239409885405,4.586666666666664
141,49.35199999999999,53.76,5.469932347116261,4.527155555555555
142,49.38239999999999,53.76,5.481566028622897,4.511044444444444
143,49.42000000000003,53.76,5.501131643757332,4.507096969696969
144,49.48479999999998,53.92,5.528215634602307,4.460068686868689
145,49.52800000000001,54.08,5.608932964750103,4.382119191919192
146,49.676800000000014,54.16,5.604211848666554,4.362672727272729
147,49.624,54.24,5.4871102212435225,4.402965656565656
148,49.7752,54.32,5.536483973022051,4.356034343434343
149,49.9808,54.4,5.56370870994944,4.274246464646463
150,49.986399999999996,54.56,5.560802646577075,4.261012121212122
151,50.09919999999999,54.72,5.55706436227777,4.271258585858586
152,50.1456,54.72,5.597407113692803,4.257618181818183
153,50.32239999999999,54.8,5.61780747037976,4.196062626262626
154,50.305599999999984,54.88,5.621558770860663,4.187319191919194
155,50.348800000000004,54.96,5.590957720079917,4.1635757575757575
156,50.548,54.96,5.629633212144563,4.148258585858587
157,50.5904,55.04,5.58139444818035,4.12360808080808
158,50.7536,55.12,5.613988442107329,4.110258585858586
159,50.708799999999975,55.36,5.575261695337628,4.162561616161615
160,50.618399999999994,55.6,5.570447121473674,4.199406060606062
161,50.81760000000001,55.68,5.711239586500368,4.153876767676767
162,51.067200000000014,55.68,5.697849891619475,4.100858585858586
163,51.1536,55.84,5.6552385558579905,3.985606060606061
164,51.308799999999984,56.0,5.67863031678873,3.8714525252525247
