Gen,AvgFit,BestFit 
0,0.24080000000000001,8.16
1,0.6463999999999999,8.96
2,1.5935999999999995,11.36
3,3.3152,13.76
4,5.577600000000002,16.88
5,7.7231999999999985,19.36
6,9.7448,22.0
7,11.9872,23.76
8,14.279200000000005,25.68
9,16.472,27.28
10,18.496800000000004,29.2
11,20.27839999999999,30.48
12,21.995200000000008,32.24
13,23.672800000000006,34.0
14,24.908,35.76
15,26.381600000000006,37.6
16,27.922399999999993,39.44
17,29.190399999999997,40.4
18,30.441599999999994,41.28
19,31.85120000000001,42.4
20,33.028,43.12
21,34.36880000000001,43.28
22,35.29439999999999,45.04
23,36.2216,47.44
24,37.0864,48.48
25,37.936800000000005,49.84
26,38.9552,50.24
27,39.98640000000002,51.12
28,40.809599999999996,51.52
29,42.13999999999999,52.16
30,43.013600000000004,52.88
31,43.90479999999999,53.2
32,44.46320000000001,53.52
33,44.86160000000002,54.48
34,45.194400000000016,55.44
35,45.67680000000002,55.76
36,46.1944,56.72
37,46.7816,56.56
38,47.292799999999986,57.28
39,47.908,58.4
40,48.2856,58.72
41,48.44399999999999,59.36
42,49.28960000000001,60.24
43,49.7576,61.76
44,50.573600000000006,62.24
45,51.227199999999975,63.36
46,51.7576,63.6
47,52.16799999999999,63.92
48,53.084,64.08
49,53.8112,64.32
50,53.76480000000002,64.56
51,54.56560000000001,64.96
52,54.875200000000014,65.68
53,55.34,66.0
54,55.541599999999995,65.84
55,55.812799999999996,66.48
56,55.84400000000001,67.44
57,56.21840000000003,67.92
58,56.7376,68.64
59,57.072000000000024,69.36
60,57.50320000000002,69.04
61,57.61360000000003,69.6
62,58.38480000000002,69.52
63,58.98079999999999,70.88
64,59.318400000000025,71.68
65,59.71200000000001,71.76
66,60.06159999999998,73.44
67,60.59520000000002,73.76
68,61.46639999999999,74.24
69,61.353600000000014,75.52
70,61.71920000000002,76.88
71,62.49440000000001,76.88
72,63.176799999999986,78.0
73,63.84719999999999,78.32
74,64.75600000000001,78.88
75,65.02880000000002,79.92
76,65.64,80.56
77,66.04320000000001,79.92
78,66.31040000000002,79.76
79,66.81519999999996,81.68
80,67.396,81.84
81,67.70479999999999,82.32
82,67.77999999999999,83.84
83,68.21039999999998,84.16
84,68.8568,85.44
85,69.8656,85.44
86,70.3712,86.48
87,70.77999999999999,87.6
88,71.40799999999999,88.0
89,71.93359999999996,88.56
90,72.36480000000002,88.64
91,73.0696,89.84
92,73.66799999999999,90.08
93,74.03919999999995,90.56
94,74.6768,91.68
95,75.3048,92.0
96,75.6248,93.2
97,76.5696,93.84
98,76.8448,93.28
99,76.8016,94.32
100,77.14560000000002,94.4
101,77.76320000000001,95.44
102,78.50799999999998,96.0
103,78.54640000000002,96.56
104,79.22560000000001,97.44
105,79.75520000000002,97.68
106,80.25519999999997,98.24
107,80.59519999999996,98.88
108,80.80639999999997,99.44
109,81.33439999999997,100.0
110,81.66000000000003,100.4
111,82.4144,101.76
112,82.4736,102.32
113,83.15040000000003,102.88
114,83.14479999999999,103.2
115,84.29199999999997,103.44
116,84.66240000000002,104.64
117,85.9392,104.56
118,86.2456,105.12
119,86.83760000000001,105.68
120,86.90800000000002,106.32
121,86.76640000000002,106.56
122,87.62480000000004,106.8
123,87.83760000000001,106.64
124,87.93679999999999,106.96
125,88.1808,108.0
126,88.87040000000006,108.64
127,89.14399999999996,108.64
128,89.29200000000003,108.72
129,89.2384,109.36
130,89.43920000000001,111.2
131,90.01599999999999,111.12
132,89.89600000000002,111.2
133,90.77840000000002,112.08
134,91.20479999999998,113.2
135,91.2728,113.04
136,92.03839999999995,113.92
137,92.24319999999997,114.72
138,92.9016,116.32
139,93.33760000000001,116.24
140,93.63040000000001,118.16
141,94.15040000000003,118.72
142,95.0856,118.72
143,95.43359999999997,118.96
144,95.9672,120.72
145,96.75119999999997,120.16
146,97.98319999999998,120.16
147,97.82640000000006,120.48
148,98.64800000000002,122.0
149,99.31520000000002,121.6
150,99.49519999999998,122.48
151,99.89039999999999,123.36
152,99.8648,122.48
153,99.94319999999998,122.48
154,100.0336,122.72
155,100.6608,122.72
156,100.73279999999998,122.8
157,100.74160000000002,123.36
158,100.23119999999997,125.6
159,100.99759999999998,125.68
160,101.59120000000001,126.8
161,102.38080000000002,126.32
